Geneid,Ctrl_R1,Ctrl_R2,Ctrl_R3,0_R1,0_R2,0_R3,2_R1,2_R2,2_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,20_R1,20_R2,20_R3,30_R1,30_R2,30_R3,Entity,Symbol
gene-CPT_phageK_gp065,0,3,0,24.0,1.0,1.0,136.0,12.0,56.0,3440.0,477.0,3993.0,10332.0,7000.0,7269.0,4040.0,5004.0,4107.0,1963.0,2253.0,1240.0,phage,gene-CPT_phageK_gp065
gene-CPT_phageK_gp223,0,0,0,11.0,1.0,0.0,49.0,5.0,7.0,1152.0,151.0,1188.0,4639.0,2296.0,2675.0,1712.0,2350.0,1672.0,948.0,1185.0,448.0,phage,gene-CPT_phageK_gp223
gene-CPT_phageK_gp090,0,3,0,18.0,0.0,2.0,201.0,21.0,92.0,3897.0,553.0,4104.0,9572.0,6442.0,5649.0,2037.0,2594.0,2347.0,1254.0,1162.0,1311.0,phage,gene-CPT_phageK_gp090
gene-CPT_phageK_gp020,0,1,1,8.0,2.0,1.0,251.0,46.0,196.0,1606.0,634.0,1383.0,1890.0,1792.0,1501.0,557.0,627.0,1193.0,331.0,394.0,656.0,phage,gene-CPT_phageK_gp020
gene-CPT_phageK_gp012,0,0,0,1.0,0.0,5.0,102.0,10.0,61.0,755.0,101.0,149.0,453.0,149.0,97.0,48.0,45.0,72.0,49.0,31.0,53.0,phage,gene-CPT_phageK_gp012
gene-CPT_phageK_gp050,0,0,0,4.0,0.0,0.0,79.0,3.0,30.0,1299.0,252.0,1485.0,2639.0,2140.0,1639.0,467.0,690.0,502.0,254.0,216.0,264.0,phage,gene-CPT_phageK_gp050
gene-CPT_phageK_gp133,0,1,0,131.0,4.0,1.0,124.0,22.0,41.0,3120.0,595.0,5268.0,15305.0,9588.0,15132.0,12260.0,12177.0,16491.0,10437.0,10459.0,6438.0,phage,gene-CPT_phageK_gp133
gene-CPT_phageK_gp195,0,1,1,478.0,9.0,7.0,175.0,23.0,63.0,1845.0,479.0,3581.0,5857.0,6582.0,6045.0,13389.0,8604.0,38178.0,44996.0,34322.0,76271.0,phage,gene-CPT_phageK_gp195
gene-CPT_phageK_gp202,2,0,0,38.0,1.0,1.0,131.0,17.0,57.0,2733.0,286.0,2957.0,10445.0,5071.0,6625.0,4814.0,6001.0,6641.0,3107.0,3358.0,1867.0,phage,gene-CPT_phageK_gp202
gene-CPT_phageK_gp003,0,0,0,4.0,0.0,2.0,69.0,6.0,24.0,931.0,143.0,975.0,1836.0,1390.0,1040.0,291.0,393.0,300.0,152.0,140.0,136.0,phage,gene-CPT_phageK_gp003
